contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251128C00110000,2025-11-06 15:22:28+00:00,110.0,160.95,162.3,164.4,0.0,0.0,,8,3.767578706054688,True,REGULAR,USD
AAPL251128C00120000,2025-11-05 17:41:07+00:00,120.0,150.8,152.35,154.4,0.0,0.0,,6,3.4355482861328124,True,REGULAR,USD
AAPL251128C00125000,2025-11-05 17:54:19+00:00,125.0,145.77,147.15,149.45,0.0,0.0,,2,3.3261735595703117,True,REGULAR,USD
AAPL251128C00130000,2025-11-06 15:22:28+00:00,130.0,141.01,142.2,144.4,0.0,0.0,,5,3.1308615478515627,True,REGULAR,USD
AAPL251128C00135000,2025-11-05 17:41:07+00:00,135.0,135.81,137.15,139.45,0.0,0.0,,2,3.0292993017578125,True,REGULAR,USD
AAPL251128C00140000,2025-11-05 17:45:00+00:00,140.0,130.7,132.2,134.4,0.0,0.0,,8,2.847659130859375,True,REGULAR,USD
AAPL251128C00145000,2025-11-12 16:43:13+00:00,145.0,129.78,127.15,129.45,0.0,0.0,1.0,2,2.7539093652343754,True,REGULAR,USD
AAPL251128C00150000,2025-11-05 19:10:27+00:00,150.0,121.2,122.2,124.4,0.0,0.0,,1,2.5839879150390628,True,REGULAR,USD
AAPL251128C00155000,2025-11-17 18:10:50+00:00,155.0,113.32,117.15,119.5,0.0,0.0,2.0,3,2.529300551757812,True,REGULAR,USD
AAPL251128C00160000,2025-11-05 17:25:01+00:00,160.0,109.91,112.25,114.45,0.0,0.0,68.0,10,2.3710978222656243,True,REGULAR,USD
AAPL251128C00170000,2025-11-21 18:54:04+00:00,170.0,102.86,102.25,104.45,0.0,0.0,2.0,3,2.134770288085937,True,REGULAR,USD
AAPL251128C00175000,2025-10-30 16:55:03+00:00,175.0,96.85,97.3,99.5,0.0,0.0,,1,2.0498095629882815,True,REGULAR,USD
AAPL251128C00180000,2025-11-18 14:59:32+00:00,180.0,87.46,92.25,94.45,0.0,0.0,2.0,2,1.9101566992187502,True,REGULAR,USD
AAPL251128C00185000,2025-11-21 16:16:03+00:00,185.0,85.67,87.2,89.5,0.0,0.0,1.0,5,1.8281258593749998,True,REGULAR,USD
AAPL251128C00190000,2025-11-21 15:28:57+00:00,190.0,80.15,82.25,84.45,0.0,0.0,1.0,8,1.6962905810546878,True,REGULAR,USD
AAPL251128C00195000,2025-11-19 17:21:13+00:00,195.0,75.43,77.2,79.5,0.0,0.0,2.0,5,1.6162128564453124,True,REGULAR,USD
AAPL251128C00200000,2025-11-21 14:54:16+00:00,200.0,68.77,72.25,74.45,0.0,0.0,10.0,101,1.4912134814453122,True,REGULAR,USD
AAPL251128C00205000,2025-11-24 14:51:40+00:00,205.0,69.2,67.35,69.5,4.199997,6.4615335,1.0,13,1.4130888720703125,True,REGULAR,USD
AAPL251128C00210000,2025-11-21 19:06:50+00:00,210.0,62.68,62.25,64.45,0.0,0.0,79.0,105,1.29297228515625,True,REGULAR,USD
AAPL251128C00215000,2025-11-24 15:09:19+00:00,215.0,58.27,57.35,59.2,2.4399986,4.5701413,2.0,64,1.08203583984375,True,REGULAR,USD
AAPL251128C00220000,2025-11-24 14:56:23+00:00,220.0,53.54,52.3,54.5,0.65999985,1.2481086,11.0,187,1.1196333081054686,True,REGULAR,USD
AAPL251128C00222500,2025-11-19 15:54:49+00:00,222.5,50.35,49.75,52.05,0.0,0.0,10.0,11,1.0888717431640624,True,REGULAR,USD
AAPL251128C00225000,2025-11-21 20:29:08+00:00,225.0,46.76,47.35,49.35,0.0,0.0,137.0,264,0.9711916943359374,True,REGULAR,USD
AAPL251128C00227500,2025-11-21 20:30:10+00:00,227.5,44.58,44.9,47.05,0.0,0.0,18.0,18,0.993164130859375,True,REGULAR,USD
AAPL251128C00230000,2025-11-24 14:53:33+00:00,230.0,44.32,42.25,44.0,3.6100006,8.867601,6.0,288,0.7060576269531251,True,REGULAR,USD
AAPL251128C00232500,2025-11-21 20:21:12+00:00,232.5,39.8,40.0,41.3,0.0,0.0,801.0,808,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00235000,2025-11-24 15:18:25+00:00,235.0,38.4,37.4,39.55,2.1500015,5.931039,2.0,339,0.8510757080078125,True,REGULAR,USD
AAPL251128C00237500,2025-11-24 15:04:02+00:00,237.5,36.07,34.75,37.05,1.6899986,4.9156446,1.0,225,0.8037129003906249,True,REGULAR,USD
AAPL251128C00240000,2025-11-24 14:58:35+00:00,240.0,33.61,32.55,34.05,2.3500004,7.5175953,7.0,1720,0.584965087890625,True,REGULAR,USD
AAPL251128C00242500,2025-11-21 18:47:38+00:00,242.5,29.4,29.8,32.1,0.0,0.0,35.0,66,0.7216824707031251,True,REGULAR,USD
AAPL251128C00245000,2025-11-24 15:22:03+00:00,245.0,28.27,27.3,29.3,2.1599998,7.988165,11.0,628,0.5981485498046876,True,REGULAR,USD
AAPL251128C00247500,2025-11-21 20:59:10+00:00,247.5,24.04,24.8,27.1,0.0,0.0,33.0,214,0.6264685791015626,True,REGULAR,USD
AAPL251128C00250000,2025-11-24 15:21:02+00:00,250.0,23.51,22.6,23.55,1.8899994,8.741902,17.0,2314,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128C00252500,2025-11-24 15:20:09+00:00,252.5,20.76,19.95,22.0,1.2600002,6.907896,2.0,128,0.5107470800781251,True,REGULAR,USD
