contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251219C00005000,2025-11-24 16:12:40+00:00,5.0,270.2,269.65,272.3,4.0200195,1.5102636,2.0,62,5.671877910156249,True,REGULAR,USD
AAPL251219C00010000,2025-11-19 15:31:03+00:00,10.0,261.5,264.15,267.35,0.0,0.0,11.0,11,7.449219438476563,True,REGULAR,USD
AAPL251219C00015000,2025-11-07 20:45:14+00:00,15.0,253.5,259.2,262.2,0.0,0.0,5.0,0,6.181642897949218,True,REGULAR,USD
AAPL251219C00020000,2025-11-07 20:25:47+00:00,20.0,247.25,255.0,257.2,0.0,0.0,100.0,10,4.054692431640625,True,REGULAR,USD
AAPL251219C00025000,2025-11-11 14:30:46+00:00,25.0,245.7,249.2,252.4,0.0,0.0,3.0,3,5.098636439208983,True,REGULAR,USD
AAPL251219C00030000,2025-11-06 17:11:56+00:00,30.0,241.24,244.25,247.25,0.0,0.0,4.0,0,4.583012083740234,True,REGULAR,USD
AAPL251219C00035000,2025-11-06 17:11:56+00:00,35.0,236.07,239.25,242.25,0.0,0.0,6.0,0,4.246098442382813,True,REGULAR,USD
AAPL251219C00040000,2025-11-10 16:00:18+00:00,40.0,230.91,234.25,237.45,0.0,0.0,1.0,4,4.064458044433594,True,REGULAR,USD
AAPL251219C00045000,2025-11-06 14:34:43+00:00,45.0,223.7,229.3,232.3,0.0,0.0,1.0,1,3.7382819042968753,True,REGULAR,USD
AAPL251219C00050000,2025-11-05 20:58:36+00:00,50.0,220.14,224.5,227.3,0.0,0.0,1.0,161,3.518555891113281,True,REGULAR,USD
AAPL251219C00055000,2025-10-28 13:52:40+00:00,55.0,214.22,219.5,222.5,0.0,0.0,1.0,80,2.2500043749999996,True,REGULAR,USD
AAPL251219C00060000,2025-11-06 17:39:28+00:00,60.0,212.15,214.5,217.35,0.0,0.0,5.0,196,1.6875015625,True,REGULAR,USD
AAPL251219C00065000,2025-11-06 17:32:21+00:00,65.0,206.5,209.5,212.5,0.0,0.0,4.0,224,2.02344244140625,True,REGULAR,USD
AAPL251219C00070000,2025-11-07 20:39:55+00:00,70.0,197.95,204.6,207.35,0.0,0.0,120.0,824,1.8515632421875,True,REGULAR,USD
AAPL251219C00075000,2025-11-21 20:00:37+00:00,75.0,197.59,199.5,202.4,0.0,0.0,11.0,192,1.65625171875,True,REGULAR,USD
AAPL251219C00080000,2025-11-21 16:44:58+00:00,80.0,190.1,194.95,197.5,0.0,0.0,10.0,201,2.0351611621093753,True,REGULAR,USD
AAPL251219C00085000,2025-11-06 18:27:46+00:00,85.0,186.42,189.5,192.55,0.0,0.0,13.0,382,1.7070327148437499,True,REGULAR,USD
AAPL251219C00090000,2025-11-07 14:35:08+00:00,90.0,178.29,184.45,187.6,0.0,0.0,2.0,282,1.625001875,True,REGULAR,USD
AAPL251219C00095000,2025-11-07 14:35:08+00:00,95.0,173.2,179.5,182.6,0.0,0.0,2.0,186,1.5898458007812497,True,REGULAR,USD
AAPL251219C00100000,2025-11-24 18:08:58+00:00,100.0,175.7,175.65,176.45,3.899994,2.270078,11.0,2505,1.5156274218749999,True,REGULAR,USD
AAPL251219C00105000,2025-11-07 14:37:11+00:00,105.0,164.24,169.5,172.65,0.0,0.0,2.0,139,1.4765651171875,True,REGULAR,USD
AAPL251219C00110000,2025-11-10 20:39:35+00:00,110.0,159.59,165.05,166.25,0.0,0.0,2.0,977,1.5527366113281247,True,REGULAR,USD
AAPL251219C00115000,2025-11-21 15:15:21+00:00,115.0,154.75,159.5,161.45,0.0,0.0,2.0,217,1.588869243164062,True,REGULAR,USD
AAPL251219C00120000,2025-11-19 20:54:08+00:00,120.0,149.34,155.0,157.55,0.0,0.0,1.0,1003,1.4306669091796875,True,REGULAR,USD
AAPL251219C00125000,2025-11-21 20:23:45+00:00,125.0,147.58,149.55,151.05,0.0,0.0,3.0,543,1.201175869140625,True,REGULAR,USD
AAPL251219C00130000,2025-11-24 20:52:57+00:00,130.0,146.5,145.25,146.45,3.149994,2.1974146,1.0,2313,1.3837921435546874,True,REGULAR,USD
AAPL251219C00135000,2025-11-21 16:37:08+00:00,135.0,137.97,139.55,141.65,1.7700043,1.2995627,4.0,768,1.390139768066406,True,REGULAR,USD
AAPL251219C00140000,2025-11-21 15:13:21+00:00,140.0,135.0,134.6,137.5,5.0,3.8461537,5.0,1448,1.0410204199218753,True,REGULAR,USD
AAPL251219C00145000,2025-11-24 18:27:06+00:00,145.0,131.08,130.85,131.45,2.1600037,1.6754605,8.0,926,1.0644578027343752,True,REGULAR,USD
AAPL251219C00150000,2025-11-24 20:55:15+00:00,150.0,126.4,125.9,126.7,7.209999,6.049164,307.0,1683,1.087895185546875,True,REGULAR,USD
AAPL251219C00155000,2025-11-24 16:54:01+00:00,155.0,121.13,120.65,122.55,4.3799973,3.7516036,10.0,863,1.1347699511718752,True,REGULAR,USD
AAPL251219C00160000,2025-11-24 18:22:09+00:00,160.0,117.0,115.4,117.8,8.160004,7.497247,1.0,1264,1.0795944458007813,True,REGULAR,USD
AAPL251219C00165000,2025-11-21 19:45:01+00:00,165.0,108.27,110.45,111.65,0.0,0.0,1.0,2454,0.80664255859375,True,REGULAR,USD
AAPL251219C00170000,2025-11-24 15:29:49+00:00,170.0,103.75,105.95,106.65,5.6500015,5.7594304,1.0,3993,0.885743330078125,True,REGULAR,USD
AAPL251219C00175000,2025-11-24 16:55:13+00:00,175.0,101.65,100.4,101.65,7.169998,7.5889053,2.0,1733,0.70312796875,True,REGULAR,USD
AAPL251219C00180000,2025-11-24 20:30:18+00:00,180.0,97.05,95.75,96.65,5.050003,5.489134,8.0,16119,0.7568383691406251,True,REGULAR,USD
AAPL251219C00185000,2025-11-24 19:36:10+00:00,185.0,91.4,90.9,91.9,4.919998,5.689174,185.0,2510,0.7768577001953125,True,REGULAR,USD
AAPL251219C00190000,2025-11-24 17:29:48+00:00,190.0,85.54,86.0,86.75,2.209999,2.6521049,4.0,2927,0.7251004052734374,True,REGULAR,USD
AAPL251219C00195000,2025-11-24 19:21:49+00:00,195.0,81.83,80.9,82.4,3.2600021,4.149169,11.0,2656,0.7407252490234374,True,REGULAR,USD
AAPL251219C00200000,2025-11-24 20:27:27+00:00,200.0,77.45,76.15,76.8,4.4799957,6.1395035,187.0,7880,0.6606479248046876,True,REGULAR,USD
AAPL251219C00205000,2025-11-24 18:52:20+00:00,205.0,71.85,71.15,71.85,3.8300018,5.6306996,12.0,4095,0.6223182299804688,True,REGULAR,USD
AAPL251219C00210000,2025-11-24 19:15:31+00:00,210.0,67.15,66.15,66.7,5.450001,8.833064,27.0,9238,0.5649457568359376,True,REGULAR,USD
AAPL251219C00215000,2025-11-24 20:57:05+00:00,215.0,61.6,61.6,61.9,4.0999985,7.130432,45.0,12170,0.5769085278320312,True,REGULAR,USD
AAPL251219C00220000,2025-11-24 20:53:00+00:00,220.0,56.33,56.3,56.75,3.0300026,5.684808,189.0,18231,0.500005,True,REGULAR,USD
AAPL251219C00225000,2025-11-24 21:01:39+00:00,225.0,52.0,51.55,52.0,4.1100006,8.582169,49.0,6828,0.5195360546875,True,REGULAR,USD
AAPL251219C00230000,2025-11-24 20:23:46+00:00,230.0,47.64,46.5,47.05,5.380001,12.730718,30.0,16139,0.47998566894531247,True,REGULAR,USD
AAPL251219C00235000,2025-11-24 20:15:59+00:00,235.0,42.38,41.65,41.7,4.540001,11.997889,224.0,12692,0.3986876538085938,True,REGULAR,USD
AAPL251219C00240000,2025-11-24 20:30:48+00:00,240.0,37.76,36.8,36.85,5.0599976,15.473998,65.0,19878,0.37219866088867193,True,REGULAR,USD
AAPL251219C00245000,2025-11-24 20:34:46+00:00,245.0,32.23,32.0,32.1,3.7799988,13.286463,296.0,8469,0.3505924316406249,True,REGULAR,USD
