contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251128P00120000,2025-10-30 13:57:51+00:00,120.0,0.02,0.0,0.0,0.0,0.0,8.0,8,0.500005,False,REGULAR,USD
AAPL251128P00130000,2025-11-18 19:20:52+00:00,130.0,0.01,0.0,0.0,0.0,0.0,1.0,12,0.500005,False,REGULAR,USD
AAPL251128P00145000,2025-10-29 15:37:33+00:00,145.0,0.03,0.0,0.0,0.0,0.0,1.0,3,0.500005,False,REGULAR,USD
AAPL251128P00150000,2025-11-17 14:30:04+00:00,150.0,0.01,0.0,0.0,0.0,0.0,33.0,39,0.500005,False,REGULAR,USD
AAPL251128P00155000,2025-11-06 16:33:51+00:00,155.0,0.02,0.0,0.0,0.0,0.0,1.0,12,0.500005,False,REGULAR,USD
AAPL251128P00160000,2025-10-30 18:18:01+00:00,160.0,0.01,0.0,0.0,0.0,0.0,11.0,6,0.500005,False,REGULAR,USD
AAPL251128P00165000,2025-11-13 18:33:47+00:00,165.0,0.01,0.0,0.0,0.0,0.0,50.0,122,0.500005,False,REGULAR,USD
AAPL251128P00170000,2025-11-14 16:30:16+00:00,170.0,0.01,0.0,0.0,0.0,0.0,2.0,132,0.500005,False,REGULAR,USD
AAPL251128P00175000,2025-11-13 18:35:51+00:00,175.0,0.01,0.0,0.0,0.0,0.0,322.0,340,0.500005,False,REGULAR,USD
AAPL251128P00180000,2025-11-14 19:59:57+00:00,180.0,0.01,0.0,0.0,0.0,0.0,4.0,54,0.500005,False,REGULAR,USD
AAPL251128P00185000,2025-11-20 20:45:03+00:00,185.0,0.01,0.0,0.0,0.0,0.0,4.0,64,0.500005,False,REGULAR,USD
AAPL251128P00190000,2025-11-18 20:01:11+00:00,190.0,0.01,0.0,0.0,0.0,0.0,13.0,304,0.500005,False,REGULAR,USD
AAPL251128P00195000,2025-11-20 20:34:44+00:00,195.0,0.01,0.0,0.0,0.0,0.0,31.0,120,0.500005,False,REGULAR,USD
AAPL251128P00200000,2025-11-21 20:50:36+00:00,200.0,0.01,0.0,0.0,0.0,0.0,68.0,720,0.500005,False,REGULAR,USD
AAPL251128P00205000,2025-11-21 20:57:59+00:00,205.0,0.01,0.0,0.0,0.0,0.0,45.0,349,0.500005,False,REGULAR,USD
AAPL251128P00210000,2025-11-21 18:03:34+00:00,210.0,0.01,0.0,0.0,0.0,0.0,91.0,393,0.500005,False,REGULAR,USD
AAPL251128P00215000,2025-11-21 15:53:31+00:00,215.0,0.02,0.0,0.0,0.0,0.0,28.0,267,0.500005,False,REGULAR,USD
AAPL251128P00220000,2025-11-21 20:56:45+00:00,220.0,0.02,0.0,0.0,0.0,0.0,1636.0,3750,0.500005,False,REGULAR,USD
AAPL251128P00222500,2025-11-21 18:28:21+00:00,222.5,0.02,0.0,0.0,0.0,0.0,112.0,125,0.2500075,False,REGULAR,USD
AAPL251128P00225000,2025-11-21 18:29:45+00:00,225.0,0.03,0.0,0.0,0.0,0.0,250.0,1700,0.2500075,False,REGULAR,USD
AAPL251128P00227500,2025-11-21 20:29:22+00:00,227.5,0.04,0.0,0.0,0.0,0.0,123.0,154,0.2500075,False,REGULAR,USD
AAPL251128P00230000,2025-11-21 19:11:10+00:00,230.0,0.04,0.0,0.0,0.0,0.0,245.0,723,0.2500075,False,REGULAR,USD
AAPL251128P00232500,2025-11-21 20:50:52+00:00,232.5,0.05,0.0,0.0,0.0,0.0,120.0,175,0.2500075,False,REGULAR,USD
AAPL251128P00235000,2025-11-21 20:59:15+00:00,235.0,0.06,0.0,0.0,0.0,0.0,166.0,1123,0.2500075,False,REGULAR,USD
AAPL251128P00237500,2025-11-21 20:59:15+00:00,237.5,0.07,0.0,0.0,0.0,0.0,117.0,277,0.2500075,False,REGULAR,USD
AAPL251128P00240000,2025-11-21 20:53:27+00:00,240.0,0.09,0.0,0.0,0.0,0.0,1497.0,1449,0.2500075,False,REGULAR,USD
AAPL251128P00242500,2025-11-21 20:59:24+00:00,242.5,0.1,0.0,0.0,0.0,0.0,1733.0,1541,0.2500075,False,REGULAR,USD
AAPL251128P00245000,2025-11-21 20:58:08+00:00,245.0,0.13,0.0,0.0,0.0,0.0,1366.0,2229,0.2500075,False,REGULAR,USD
AAPL251128P00247500,2025-11-21 20:55:26+00:00,247.5,0.16,0.0,0.0,0.0,0.0,2925.0,1835,0.12500875,False,REGULAR,USD
AAPL251128P00250000,2025-11-21 20:59:30+00:00,250.0,0.2,0.0,0.0,0.0,0.0,2445.0,5881,0.12500875,False,REGULAR,USD
AAPL251128P00252500,2025-11-21 20:59:31+00:00,252.5,0.24,0.0,0.0,0.0,0.0,1726.0,2531,0.12500875,False,REGULAR,USD
AAPL251128P00255000,2025-11-21 20:59:36+00:00,255.0,0.31,0.0,0.0,0.0,0.0,11917.0,11240,0.12500875,False,REGULAR,USD
AAPL251128P00257500,2025-11-21 20:59:58+00:00,257.5,0.42,0.0,0.0,0.0,0.0,4534.0,4063,0.12500875,False,REGULAR,USD
AAPL251128P00260000,2025-11-21 20:59:57+00:00,260.0,0.6,0.0,0.0,0.0,0.0,15650.0,12309,0.062509375,False,REGULAR,USD
AAPL251128P00262500,2025-11-21 20:59:57+00:00,262.5,0.84,0.0,0.0,0.0,0.0,5906.0,3500,0.062509375,False,REGULAR,USD
AAPL251128P00265000,2025-11-21 20:59:56+00:00,265.0,1.24,0.0,0.0,0.0,0.0,18230.0,9173,0.062509375,False,REGULAR,USD
AAPL251128P00267500,2025-11-21 20:59:52+00:00,267.5,1.79,0.0,0.0,0.0,0.0,12054.0,6791,0.0312596875,False,REGULAR,USD
AAPL251128P00270000,2025-11-21 20:59:59+00:00,270.0,2.6,0.0,0.0,0.0,0.0,15720.0,6079,0.015634843750000002,False,REGULAR,USD
AAPL251128P00272500,2025-11-21 20:59:53+00:00,272.5,3.65,0.0,0.0,0.0,0.0,7308.0,2552,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00275000,2025-11-21 20:59:46+00:00,275.0,5.05,0.0,0.0,0.0,0.0,2971.0,4228,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00277500,2025-11-21 20:59:46+00:00,277.5,6.8,0.0,0.0,0.0,0.0,5208.0,1962,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00280000,2025-11-21 20:59:35+00:00,280.0,9.0,0.0,0.0,0.0,0.0,750.0,567,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00282500,2025-11-21 20:41:05+00:00,282.5,10.92,0.0,0.0,0.0,0.0,28.0,35,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00285000,2025-11-21 20:33:19+00:00,285.0,13.8,0.0,0.0,0.0,0.0,140.0,91,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00287500,2025-11-21 20:35:43+00:00,287.5,15.8,0.0,0.0,0.0,0.0,303.0,12,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00290000,2025-11-21 20:35:43+00:00,290.0,18.3,0.0,0.0,0.0,0.0,307.0,147,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00292500,2025-11-21 20:16:11+00:00,292.5,20.49,0.0,0.0,0.0,0.0,3.0,1,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00295000,2025-11-21 17:55:10+00:00,295.0,23.79,0.0,0.0,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00300000,2025-11-20 16:31:34+00:00,300.0,28.79,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00305000,2025-11-13 20:52:49+00:00,305.0,30.65,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00307500,2025-11-17 17:58:53+00:00,307.5,39.37,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00310000,2025-11-21 20:52:19+00:00,310.0,39.0,0.0,0.0,0.0,0.0,36.0,6,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00317500,2025-11-21 14:48:37+00:00,317.5,48.3,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00320000,2025-10-31 15:55:01+00:00,320.0,49.29,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL251128P00325000,2025-11-18 19:46:17+00:00,325.0,56.6,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
