contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL251128P00120000,2025-10-30 13:57:51+00:00,120.0,0.02,0.0,0.01,0.0,0.0,8.0,8,2.1250046874999997,False,REGULAR,USD
AAPL251128P00130000,2025-11-18 19:20:52+00:00,130.0,0.01,0.0,0.01,0.0,0.0,1.0,12,1.9375003125,False,REGULAR,USD
AAPL251128P00145000,2025-10-29 15:37:33+00:00,145.0,0.03,0.0,0.01,0.0,0.0,1.0,3,1.6875015625,False,REGULAR,USD
AAPL251128P00150000,2025-11-17 14:30:04+00:00,150.0,0.01,0.0,0.01,0.0,0.0,33.0,39,1.5625021874999998,False,REGULAR,USD
AAPL251128P00155000,2025-11-06 16:33:51+00:00,155.0,0.02,0.0,0.01,0.0,0.0,1.0,12,1.5000025,False,REGULAR,USD
AAPL251128P00160000,2025-10-30 18:18:01+00:00,160.0,0.01,0.0,0.01,0.0,0.0,11.0,6,1.4375028125,False,REGULAR,USD
AAPL251128P00165000,2025-11-13 18:33:47+00:00,165.0,0.01,0.0,0.01,0.0,0.0,50.0,122,1.3437532812499997,False,REGULAR,USD
AAPL251128P00170000,2025-11-14 16:30:16+00:00,170.0,0.01,0.0,0.01,0.0,0.0,2.0,132,1.2812535937499998,False,REGULAR,USD
AAPL251128P00175000,2025-11-13 18:35:51+00:00,175.0,0.01,0.0,0.01,0.0,0.0,322.0,340,1.1875040625,False,REGULAR,USD
AAPL251128P00180000,2025-11-14 19:59:57+00:00,180.0,0.01,0.0,0.01,0.0,0.0,4.0,54,1.125004375,False,REGULAR,USD
AAPL251128P00185000,2025-11-20 20:45:03+00:00,185.0,0.01,0.0,0.01,0.0,0.0,4.0,64,1.0625046875000002,False,REGULAR,USD
AAPL251128P00190000,2025-11-18 20:01:11+00:00,190.0,0.01,0.0,0.01,0.0,0.0,13.0,304,0.98437515625,False,REGULAR,USD
AAPL251128P00195000,2025-11-20 20:34:44+00:00,195.0,0.01,0.0,0.01,0.0,0.0,31.0,120,0.937500625,False,REGULAR,USD
AAPL251128P00200000,2025-11-21 20:50:36+00:00,200.0,0.01,0.0,0.01,0.0,0.0,68.0,720,0.87500125,False,REGULAR,USD
AAPL251128P00205000,2025-11-21 20:57:59+00:00,205.0,0.01,0.0,0.01,0.0,0.0,45.0,349,0.8125018749999999,False,REGULAR,USD
AAPL251128P00210000,2025-11-24 19:49:38+00:00,210.0,0.01,0.0,0.01,0.0,0.0,1.0,393,0.7500025,False,REGULAR,USD
AAPL251128P00215000,2025-11-24 19:49:03+00:00,215.0,0.01,0.0,0.01,-0.01,-50.0,1.0,267,0.6875031250000001,False,REGULAR,USD
AAPL251128P00220000,2025-11-24 19:48:38+00:00,220.0,0.01,0.0,0.01,-0.01,-50.0,170.0,3750,0.6250037500000001,False,REGULAR,USD
AAPL251128P00222500,2025-11-24 17:15:47+00:00,222.5,0.01,0.0,0.01,-0.01,-50.0,37.0,125,0.5937540625000001,False,REGULAR,USD
AAPL251128P00225000,2025-11-24 20:07:18+00:00,225.0,0.01,0.0,0.02,-0.02,-66.66667,149.0,1700,0.6015664843750002,False,REGULAR,USD
AAPL251128P00227500,2025-11-24 18:49:53+00:00,227.5,0.01,0.0,0.01,-0.03,-75.0,150.0,154,0.5312546875,False,REGULAR,USD
AAPL251128P00230000,2025-11-24 19:45:28+00:00,230.0,0.01,0.0,0.01,-0.03,-75.0,133.0,723,0.51562984375,False,REGULAR,USD
AAPL251128P00232500,2025-11-24 20:52:29+00:00,232.5,0.02,0.01,0.02,-0.030000001,-60.0,35.0,175,0.5351608984375,False,REGULAR,USD
AAPL251128P00235000,2025-11-24 20:52:29+00:00,235.0,0.02,0.01,0.03,-0.04,-66.66667,159.0,1123,0.5195360546875,False,REGULAR,USD
AAPL251128P00237500,2025-11-24 18:11:08+00:00,237.5,0.02,0.01,0.03,-0.05,-71.42857,214.0,277,0.5117236328125,False,REGULAR,USD
AAPL251128P00240000,2025-11-24 20:09:04+00:00,240.0,0.03,0.02,0.03,-0.060000002,-66.666664,321.0,1449,0.4804739453125,False,REGULAR,USD
AAPL251128P00242500,2025-11-24 20:30:27+00:00,242.5,0.03,0.02,0.03,-0.07,-70.0,1485.0,1541,0.44727115234375,False,REGULAR,USD
AAPL251128P00245000,2025-11-24 20:44:51+00:00,245.0,0.03,0.03,0.04,-0.099999994,-76.92307,1694.0,2229,0.42969320312500003,False,REGULAR,USD
AAPL251128P00247500,2025-11-24 20:59:33+00:00,247.5,0.03,0.03,0.05,-0.13,-81.25,298.0,1835,0.4101621484375,False,REGULAR,USD
AAPL251128P00250000,2025-11-24 21:01:39+00:00,250.0,0.05,0.05,0.06,-0.15,-75.0,1169.0,5881,0.38477177734374995,False,REGULAR,USD
AAPL251128P00252500,2025-11-24 20:11:24+00:00,252.5,0.07,0.06,0.07,-0.16999999,-70.83333,2451.0,2531,0.35938140625,False,REGULAR,USD
AAPL251128P00255000,2025-11-24 21:01:39+00:00,255.0,0.08,0.07,0.08,-0.23,-74.19355,5768.0,11240,0.3320379296875,False,REGULAR,USD
AAPL251128P00257500,2025-11-24 20:58:30+00:00,257.5,0.1,0.1,0.11,-0.32,-76.190475,3242.0,4063,0.31250687499999996,False,REGULAR,USD
AAPL251128P00260000,2025-11-24 21:01:39+00:00,260.0,0.13,0.13,0.15,-0.47000003,-78.333336,11317.0,12309,0.2910227148437499,False,REGULAR,USD
AAPL251128P00262500,2025-11-24 21:01:39+00:00,262.5,0.19,0.19,0.21,-0.65,-77.38096,4855.0,3500,0.270515107421875,False,REGULAR,USD
AAPL251128P00265000,2025-11-24 21:01:39+00:00,265.0,0.3,0.29,0.3,-0.94,-75.80645,11705.0,9173,0.24951922363281248,False,REGULAR,USD
AAPL251128P00267500,2025-11-24 21:01:41+00:00,267.5,0.47,0.47,0.48,-1.3199999,-73.74302,9649.0,6791,0.23413851806640623,False,REGULAR,USD
AAPL251128P00270000,2025-11-24 21:01:42+00:00,270.0,0.79,0.79,0.75,-1.81,-69.61539,17822.0,6079,0.21631643066406248,False,REGULAR,USD
AAPL251128P00272500,2025-11-24 21:01:42+00:00,272.5,1.31,1.31,1.23,-2.3400002,-64.10959,26202.0,2552,0.20215641601562498,False,REGULAR,USD
AAPL251128P00275000,2025-11-24 21:01:42+00:00,275.0,1.99,2.14,2.04,-3.0600002,-60.594063,25201.0,4228,0.19226881958007813,False,REGULAR,USD
AAPL251128P00277500,2025-11-24 21:01:42+00:00,277.5,3.35,3.35,3.35,-3.4500003,-50.7353,8059.0,1962,0.1920246813964844,True,REGULAR,USD
AAPL251128P00280000,2025-11-24 21:01:42+00:00,280.0,4.6,5.0,5.05,-4.4,-48.88889,2533.0,567,0.192390888671875,True,REGULAR,USD
AAPL251128P00282500,2025-11-24 20:49:44+00:00,282.5,6.0,7.05,7.15,-4.92,-45.054943,689.0,35,0.20410952148437497,True,REGULAR,USD
AAPL251128P00285000,2025-11-24 20:59:43+00:00,285.0,9.2,8.95,9.2,-4.6000004,-33.333336,226.0,91,0.16993017578125003,True,REGULAR,USD
AAPL251128P00287500,2025-11-24 20:41:50+00:00,287.5,10.7,11.45,12.4,-5.1000004,-32.278484,60.0,12,0.3327703442382813,True,REGULAR,USD
AAPL251128P00290000,2025-11-24 20:56:44+00:00,290.0,14.12,14.1,14.4,-4.1799994,-22.841528,282.0,147,0.2934640966796874,True,REGULAR,USD
AAPL251128P00292500,2025-11-21 20:16:11+00:00,292.5,17.65,15.75,17.9,-2.8400002,-13.86042,2.0,1,0.4909718872070313,True,REGULAR,USD
AAPL251128P00295000,2025-11-24 20:02:59+00:00,295.0,18.75,18.25,20.0,-5.040001,-21.185375,5.0,2,0.4804739453125,True,REGULAR,USD
AAPL251128P00300000,2025-11-24 20:02:59+00:00,300.0,23.75,23.25,25.0,-5.040001,-17.50608,1.0,0,0.5629926513671876,True,REGULAR,USD
AAPL251128P00305000,2025-11-24 20:29:02+00:00,305.0,28.54,29.15,29.35,-2.1099987,-6.8841724,230.0,1,0.4897511962890626,True,REGULAR,USD
AAPL251128P00307500,2025-11-24 14:38:52+00:00,307.5,32.57,30.75,32.9,-6.799999,-17.272034,2.0,0,0.5127001855468749,True,REGULAR,USD
AAPL251128P00310000,2025-11-24 15:16:04+00:00,310.0,36.62,33.25,35.4,-2.380001,-6.1025667,5.0,6,0.5434615966796876,True,REGULAR,USD
AAPL251128P00317500,2025-11-21 14:48:37+00:00,317.5,48.3,40.75,42.6,0.0,0.0,1.0,1,0.5478560839843751,True,REGULAR,USD
AAPL251128P00320000,2025-10-31 15:55:01+00:00,320.0,49.29,43.25,45.35,0.0,0.0,1.0,0,0.65039412109375,True,REGULAR,USD
AAPL251128P00325000,2025-11-18 19:46:17+00:00,325.0,56.6,48.25,50.4,0.0,0.0,2.0,0,0.717776259765625,True,REGULAR,USD
AAPL251128P00330000,2025-10-31 15:55:21+00:00,330.0,58.98,53.25,55.3,0.0,0.0,1.0,0,0.7460962890625,True,REGULAR,USD
AAPL251128P00370000,2025-11-04 15:26:29+00:00,370.0,101.07,93.25,95.3,0.0,0.0,,0,1.1298871630859377,True,REGULAR,USD
AAPL251128P00390000,2025-11-04 15:26:29+00:00,390.0,121.06,113.25,115.3,0.0,0.0,,0,1.2988316308593748,True,REGULAR,USD
